text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score,stayingpower_importance,texture_importance,smell_importance,price_importance,colour_importance,shipping_importance,packing_importance
"i bought this lipstick before so i really like it, the lipstick color is very attractive, i always love this color from romand :))))",positive,0.7871,None,positive,0.7791,None,positive,0.8875,None,positive,0.8832,None,positive,0.8827,positive,positive,0.5939,None,positive,0.8789,None,negative,0.4938,0.143,0.1438,0.1424,0.1423,0.1433,0.1439,0.1413
"it's cheap and beautiful, but the shipping is a bit slow because it's an international shop, so please understand",positive,0.4426,None,positive,0.5563,None,positive,0.7012,None,positive,0.7797,positive,positive,0.7732,None,negative,0.7999,negative,positive,0.6214,None,negative,0.4899,0.1392,0.1438,0.1479,0.1497,0.1489,0.1277,0.1428
"the lipstick is beautifulppp, the lips are very smooth, the price is also cheap, overall it's okkk",positive,0.8085,None,positive,0.8248,positive,positive,0.872,None,positive,0.8722,positive,positive,0.8531,None,positive,0.6135,None,positive,0.869,None,negative,0.4934,0.1429,0.1438,0.1423,0.1422,0.1433,0.1444,0.1412
"the lipstick has a sweet scent and looks very pretty :)))) i don't know how the color will turn out, it's suitable for the price",neutral,0.5918,None,neutral,0.6317,None,positive,0.6817,positive,positive,0.7156,positive,neutral,0.4471,neutral,positive,0.4472,None,positive,0.6959,None,negative,0.4972,0.1471,0.1477,0.1417,0.1411,0.1434,0.14,0.1389
"delivery took a while due to international shipping, but the packaging was very careful and the color is quite beautiful",positive,0.5669,None,positive,0.7532,None,positive,0.7941,None,positive,0.7967,None,positive,0.86,positive,negative,0.7783,negative,positive,0.7428,positive,negative,0.4901,0.1426,0.1474,0.1467,0.1466,0.1481,0.1255,0.1431
"it's great, you should buy it. looking for a sale that's both cheap and reasonably priced",positive,0.7836,None,positive,0.7421,None,positive,0.8918,None,positive,0.875,positive,positive,0.8635,None,positive,0.5896,None,positive,0.875,None,negative,0.4941,0.1432,0.1439,0.1424,0.1421,0.1432,0.144,0.1412
"domestic products are delivered very quickly, delivered in full, very good products, cheap prices, i always recommend buying, and get free shipping. wait, the lipstick has a beautiful color that doesn't dry out the lips, smells like orange, whitens the skin, lol overall, there's nothing to criticize about the shop's items. pictures and examples are not relevant lw",positive,0.7127,None,positive,0.6515,positive,positive,0.7604,positive,positive,0.8514,positive,positive,0.8189,positive,positive,0.916,positive,positive,0.8231,None,negative,0.4923,0.1425,0.1442,0.1419,0.1425,0.1435,0.1442,0.1412
"fast delivery, beautiful lipstick color, light scent, overall very satisfied",positive,0.7309,None,positive,0.7154,None,positive,0.7693,positive,positive,0.8682,None,positive,0.8775,positive,positive,0.9289,positive,positive,0.8489,None,negative,0.4921,0.1418,0.1439,0.142,0.1427,0.1437,0.1442,0.1416
"beautiful natural lipstick color, soft on lips. but it goes on so quickly, it doesn't stay put, you apply lip balm and it disappears immediately",negative,0.8701,negative,positive,0.6252,positive,positive,0.5772,None,positive,0.8042,None,positive,0.6841,positive,positive,0.4991,None,positive,0.6646,None,negative,0.4884,0.1243,0.1473,0.1432,0.1494,0.1451,0.1473,0.1434
"packing 10 points the lipstick is so pretty but there's a lot of glitter so if you accidentally apply it, the glitter sticks and smudges ??",positive,0.4689,None,negative,0.8497,None,positive,0.4606,None,positive,0.6943,None,positive,0.4628,None,negative,0.5483,None,negative,0.4524,positive,negative,0.4958,0.1431,0.1299,0.1456,0.1545,0.1445,0.1397,0.1428
"compared to the price when i got it on sale, it's okay, the color is nice, the lipstick is smooth and soft, but the feeling of applying it is not plump, the lipstick is quite small and can't be held very firmly.",negative,0.6991,None,positive,0.7236,positive,positive,0.5118,None,positive,0.7895,positive,positive,0.4299,positive,positive,0.5805,None,positive,0.6318,None,negative,0.4869,0.1289,0.1486,0.1423,0.1484,0.1388,0.1502,0.1428
excellent product quality due to beautiful and sturdy product packaging,positive,0.7853,None,positive,0.7396,None,positive,0.8683,None,positive,0.8734,None,positive,0.8749,None,positive,0.6979,None,positive,0.8635,positive,negative,0.4933,0.1432,0.144,0.1423,0.1423,0.1433,0.1438,0.1411
"the color is very pretty, the lipstick is smooth but a bit easy to wear off. because i took the photo near a bright light, the color seems a bit bright. if you have dark skin, you should buy 403. if you have 502, you should use it for okela school.",negative,0.8306,negative,positive,0.687,positive,positive,0.5984,None,positive,0.8169,None,positive,0.5918,positive,positive,0.497,None,positive,0.6832,None,negative,0.4878,0.1249,0.1485,0.1435,0.1489,0.1424,0.1481,0.1438
"the color is quite nice but not as matte as advertised. overall, it's okay",negative,0.8736,negative,positive,0.5906,None,positive,0.6155,None,positive,0.8126,None,positive,0.6627,positive,positive,0.4125,None,positive,0.681,None,negative,0.4884,0.1246,0.146,0.1446,0.1499,0.1447,0.1459,0.1443
"i think the product is exactly like the picture, small and cute, in this price range it's ok, nice color, applies smoothly on lips, because it's little so i think it will sell out quickly",negative,0.8253,None,positive,0.6657,positive,positive,0.6744,None,positive,0.8234,positive,positive,0.7238,positive,positive,0.5282,None,positive,0.7037,None,negative,0.4879,0.1243,0.1477,0.144,0.1482,0.1454,0.1472,0.1432
sp is quite good fast delivery time packaging is good and sturdy....,positive,0.7155,None,positive,0.6846,None,positive,0.7653,None,positive,0.8645,None,positive,0.8765,None,positive,0.9309,positive,positive,0.8391,positive,negative,0.4921,0.1417,0.144,0.1421,0.1428,0.1437,0.1443,0.1415
beautiful lipstick with standard color. will support the shop next time! fast delivery,positive,0.7499,None,positive,0.6934,None,positive,0.7696,None,positive,0.8673,None,positive,0.8728,positive,positive,0.9238,positive,positive,0.8415,None,negative,0.4925,0.1423,0.144,0.1419,0.1426,0.1436,0.1441,0.1414
"delivery took a while, the shop packaged carefully, checked the goods were correct, and the lipstick smelled good",positive,0.5514,None,positive,0.7397,None,positive,0.7776,positive,positive,0.7839,None,positive,0.842,None,negative,0.7879,negative,positive,0.7342,positive,negative,0.49,0.1428,0.1475,0.1467,0.1464,0.1481,0.1253,0.1431
son is very beautiful hold firmly the v17 v18 color is super beautiful.oooooooooooo,positive,0.7283,None,positive,0.653,None,positive,0.8788,None,positive,0.8674,None,positive,0.8525,positive,positive,0.6217,None,positive,0.8596,None,negative,0.494,0.1436,0.1443,0.1424,0.1421,0.1433,0.1435,0.141
"pictures are for reference only. but the product is very good, carefully packaged and worth the money",positive,0.7126,None,positive,0.6266,None,positive,0.8687,None,positive,0.8461,positive,positive,0.8115,None,positive,0.571,None,positive,0.8405,positive,negative,0.4942,0.1437,0.1445,0.1423,0.142,0.1433,0.1435,0.1407
"fast delivery. super well packaged, 1 lipstick in a big box. the lipstick color is so beautiful, i don't understand why the orange color is blurred.",positive,0.4868,None,positive,0.5192,None,positive,0.6811,None,positive,0.7836,None,positive,0.4128,positive,positive,0.865,positive,positive,0.7426,positive,negative,0.4945,0.1443,0.1447,0.1424,0.1424,0.141,0.1447,0.1404
"very nice colored lipstick, fast delivery, worth buying......",positive,0.7401,None,positive,0.6966,None,positive,0.7778,positive,positive,0.8755,None,positive,0.8908,positive,positive,0.938,positive,positive,0.8568,None,negative,0.4922,0.1416,0.144,0.1421,0.1428,0.1437,0.1442,0.1417
"this is the second time i've ordered, my friends. i advise those who like domestic products not to miss this product :)) it's extremely good, but it's also very durable. at this price, it's already cheap.",positive,0.6786,positive,positive,0.6066,None,positive,0.8653,None,positive,0.8476,positive,positive,0.8177,None,positive,0.5987,None,positive,0.841,None,negative,0.494,0.1438,0.1445,0.1424,0.1418,0.1432,0.1435,0.1407
"super fast delivery beautiful lipstick, no need to talk about it but the eyeliner is a bit big and not very pretty still support the shop",negative,0.4493,None,positive,0.4461,None,positive,0.5376,None,positive,0.7825,None,negative,0.3841,None,positive,0.853,positive,positive,0.5873,None,negative,0.4915,0.1364,0.1414,0.1433,0.148,0.1388,0.1503,0.1417
"the lipstick is beautiful, long-lasting, but not fragrant. for this price, you can't ask for anything more. first time trying chinese domestic lipstick. if you like it, buy it again next time",negative,0.4957,positive,positive,0.7112,None,negative,0.4867,negative,positive,0.7191,positive,positive,0.5886,None,positive,0.6355,None,positive,0.5985,None,negative,0.488,0.1347,0.1488,0.1352,0.1468,0.1431,0.1496,0.1418
"easy to fade, not the same color, delivery took a bit longer than usual.",negative,0.8411,negative,negative,0.4639,None,positive,0.5628,None,positive,0.7354,None,positive,0.548,negative,negative,0.5872,negative,positive,0.5776,None,negative,0.488,0.1293,0.1415,0.1476,0.1533,0.1451,0.1377,0.1454
"color 25 is so pretty, the lipstick smells like candy. fast deliveryhhhhhh",positive,0.7538,None,positive,0.7154,None,positive,0.7864,positive,positive,0.8773,None,positive,0.892,positive,positive,0.9337,positive,positive,0.8579,None,negative,0.4922,0.1418,0.1439,0.142,0.1427,0.1437,0.1442,0.1417
"the shop is suitable for the price, like the color you want to use, depending on each person's budget",neutral,0.558,None,neutral,0.606,None,positive,0.643,None,positive,0.6825,positive,neutral,0.475,negative,positive,0.4498,None,positive,0.6814,None,negative,0.4971,0.1472,0.1477,0.1418,0.1409,0.1429,0.1402,0.1393
"packing protective goods handsome shipper fast delivery, very good value for money",positive,0.744,None,positive,0.7074,None,positive,0.7511,None,positive,0.8605,positive,positive,0.8746,None,positive,0.929,positive,positive,0.8373,positive,negative,0.4923,0.1418,0.144,0.1418,0.1427,0.1438,0.1444,0.1415
"it's very pretty, i applied the code with the flash sale so it's also cheap. shipped 3 days early for the event, very satisfied",positive,0.7515,None,positive,0.6801,None,positive,0.867,None,positive,0.8689,positive,positive,0.8371,None,positive,0.7694,positive,positive,0.8642,None,negative,0.4928,0.1432,0.1442,0.1423,0.1422,0.1433,0.1436,0.1412
the lipstick is very beautiful and fragrant the shop packaged carefully and carefully ships quickly love the shop ????,positive,0.7212,None,positive,0.6956,None,positive,0.7878,positive,positive,0.8676,None,positive,0.8853,None,positive,0.9233,positive,positive,0.8384,positive,negative,0.4915,0.1405,0.144,0.1422,0.1431,0.144,0.1446,0.1416
the lipstick color is much prettier than i thought but you get what you pay for,positive,0.7782,None,positive,0.6939,None,positive,0.8405,None,positive,0.8439,neutral,positive,0.7841,positive,positive,0.7061,None,positive,0.8121,None,negative,0.4934,0.1432,0.1439,0.1425,0.1424,0.1433,0.1441,0.1406
"i don't think i need to say anything more about this color, everyone already knows it ??????????????????????????",neutral,0.4572,None,positive,0.5218,None,positive,0.6441,None,positive,0.7064,None,neutral,0.4558,positive,positive,0.4719,None,positive,0.6897,None,negative,0.4947,0.1454,0.1461,0.1424,0.142,0.1413,0.1425,0.1403
"uses: the lipstick is very soft on the lips and has a fragrant scent structure: sturdy, very good color fastness: the color is very beautiful",positive,0.6078,neutral,positive,0.5273,positive,positive,0.8246,positive,positive,0.8282,None,positive,0.7479,positive,positive,0.6428,None,positive,0.8358,None,negative,0.4936,0.1444,0.1452,0.1419,0.1414,0.1432,0.1433,0.1407
"reputable product, quality, worth the money, shipping takes a while. product packaging is sturdy",positive,0.5512,None,positive,0.7288,None,positive,0.7854,None,positive,0.7986,positive,positive,0.86,None,negative,0.7928,negative,positive,0.7261,positive,negative,0.4902,0.1421,0.1472,0.1469,0.147,0.1484,0.1254,0.143
"the lipstick feels soft on the lips but dries quickly. you should nourish your lips thoroughly before using color 05 is the color of dry rose petals, the pink book is a bit too much and a bit dark color 06 is earthy red, rich in earthy colors, worth many layers and looks super deep",positive,0.5263,None,positive,0.5628,positive,positive,0.6184,None,positive,0.7146,None,neutral,0.3887,negative,positive,0.6668,None,positive,0.6005,None,negative,0.4921,0.1427,0.144,0.1443,0.1446,0.1375,0.1468,0.1403
"the lipstick is as pictured, smells of chocolate, smooth so the lips are very even, highly recommended to buy",positive,0.7694,None,positive,0.7731,positive,positive,0.8679,positive,positive,0.8511,None,positive,0.7885,None,positive,0.5335,None,positive,0.8504,None,negative,0.4939,0.1433,0.1439,0.1423,0.1419,0.1432,0.1446,0.1409
the product is great. the sale price is super super cheap ????????????????,positive,0.8223,None,positive,0.8019,None,positive,0.8852,None,positive,0.886,positive,positive,0.8944,None,positive,0.6739,None,positive,0.8792,None,negative,0.4934,0.1429,0.1437,0.1424,0.1424,0.1433,0.1439,0.1413
"super pretty lipstick, securely packaged the color is super pleasing, i support the shop for a long time",positive,0.8121,None,positive,0.7843,None,positive,0.8917,None,positive,0.879,None,positive,0.8839,positive,positive,0.6092,None,positive,0.8679,positive,negative,0.494,0.1431,0.1438,0.1423,0.1423,0.1433,0.1441,0.1411
"delivery took a while, bought at sale price so quite ok, pretty lipstick, suitable for the price ??????",positive,0.5488,None,positive,0.7429,None,positive,0.7849,None,positive,0.7939,positive,positive,0.8481,None,negative,0.7866,negative,positive,0.7351,None,negative,0.49,0.1422,0.1473,0.1468,0.1468,0.1482,0.1255,0.1432
"i hunted for a flash sale and it was quite cheap and i was very surprised at the quality of the lg product. it's no different from the other cx lipstick. the cream and glossy texture is fragrant. if you don't get used to it, it's still a bit alcoholic. overall, i'm very satisfied.",positive,0.6037,None,positive,0.5781,positive,positive,0.7204,positive,positive,0.7584,positive,positive,0.4754,None,positive,0.6788,None,positive,0.733,None,negative,0.4937,0.1444,0.1447,0.1423,0.1418,0.1425,0.1443,0.14
"this is the first time i buy, so i understand that the shop is slow to deliver according to social distancing regulations to ensure community safety and is carefully packaged and fully delivered, with labels not afraid of fake ???? i haven't used the lipstick yet, but i don't know if it looks genuine, cheap sale price.",negative,0.4146,None,positive,0.449,None,positive,0.5987,None,positive,0.6182,positive,positive,0.466,None,negative,0.743,neutral,positive,0.5257,positive,negative,0.4914,0.1409,0.1462,0.1486,0.1473,0.144,0.1304,0.1425
the lipstick color is quite nice. i think the outer shell is super cool. you should buy it,positive,0.8008,None,positive,0.7492,None,positive,0.8908,None,positive,0.8751,None,positive,0.8761,positive,positive,0.6253,None,positive,0.8647,None,negative,0.494,0.1431,0.1439,0.1424,0.1423,0.1433,0.1439,0.1411
"the lipstick has the right color! not too stubborn, seems ok pencil is super sharp, with little shimmer. bought 2 dishes and satisfied both of my stomachs",negative,0.765,negative,positive,0.6778,None,positive,0.6536,None,positive,0.8267,None,positive,0.5629,positive,positive,0.4359,None,positive,0.6821,None,negative,0.4874,0.1265,0.1479,0.1446,0.1485,0.1417,0.1474,0.1434
"super beautiful lipstick, turn on the cam and check the code to see the genuine product, the lipstick is smooth and smells of chocolate. 10/10 buy at sale price but always produce quality. please support the shop",positive,0.6545,None,positive,0.6479,positive,positive,0.8611,positive,positive,0.8332,positive,positive,0.7414,None,positive,0.5171,None,positive,0.8357,None,negative,0.4933,0.1439,0.1445,0.1423,0.1416,0.1433,0.1438,0.1407
great product order with fast delivery good product order,positive,0.7535,None,positive,0.7197,None,positive,0.7666,None,positive,0.8686,None,positive,0.8823,None,positive,0.9355,positive,positive,0.8427,positive,negative,0.4923,0.1418,0.144,0.1419,0.1428,0.1438,0.1443,0.1415
"the lipstick smells good, tested it and it's really matte, the color is perfect...first time using domestic lipstick and the quality is beyond expectations.",positive,0.7534,positive,positive,0.6888,None,positive,0.8795,positive,positive,0.8694,None,positive,0.8413,positive,positive,0.6238,None,positive,0.8595,None,negative,0.494,0.1435,0.1441,0.1423,0.1421,0.1432,0.1438,0.141
"same model, worth the price",positive,0.6854,None,positive,0.6235,None,positive,0.8665,None,positive,0.8437,positive,positive,0.7863,None,positive,0.6108,None,positive,0.8532,None,negative,0.4937,0.1436,0.1446,0.1423,0.1418,0.1431,0.1437,0.1409
the shop prepares and delivers very quickly. product quality is good.,positive,0.6538,None,positive,0.6496,None,positive,0.731,None,positive,0.8563,None,positive,0.8482,None,positive,0.9395,positive,positive,0.8101,None,negative,0.4912,0.1397,0.1439,0.142,0.1435,0.1441,0.1452,0.1415
uses: lipstick texture: cream color fastness: good delivered as fast as the wind. i've bought it many times so i can't say anything more about this brand's color,neutral,0.4975,positive,neutral,0.5592,neutral,positive,0.5988,None,positive,0.7182,None,positive,0.4499,positive,positive,0.8076,positive,positive,0.6845,None,negative,0.4958,0.1452,0.1467,0.1411,0.1418,0.1415,0.1445,0.1393
"the lipstick is so pretty that it looks more pink than red on the lips, the quality is so smooth that you should buy it, the shop packed it well and delivered it quite quickly and .",positive,0.6155,None,positive,0.6779,positive,positive,0.7034,None,positive,0.7859,None,neutral,0.3967,neutral,positive,0.8012,positive,positive,0.7289,positive,negative,0.4929,0.143,0.1447,0.1431,0.1427,0.1403,0.1454,0.1407
"good product, fast delivery. the included lipstick is also really good. can't fault anything.",positive,0.7397,None,positive,0.6973,None,positive,0.7758,None,positive,0.8711,None,positive,0.8764,None,positive,0.9365,positive,positive,0.8491,None,negative,0.4923,0.1419,0.1439,0.1421,0.1427,0.1437,0.1442,0.1415
shabby :3 is beautiful and still smells like cherry ????the lipstick is soft and not hard,positive,0.7981,None,positive,0.818,positive,positive,0.7946,positive,positive,0.8434,None,positive,0.8246,None,positive,0.6867,None,positive,0.8232,None,negative,0.493,0.1426,0.1442,0.1418,0.1424,0.1435,0.1446,0.1408
"qte goods are delivered quite quickly, about 1 week to receive. color 501 is a pretty mlbb color, the lipstick has a light scent. after the lipstick dries, wash it with water and it won't wash off",positive,0.6287,positive,positive,0.4744,None,positive,0.6845,positive,positive,0.7886,None,positive,0.6773,positive,positive,0.8908,positive,positive,0.7238,None,negative,0.4936,0.1424,0.1433,0.142,0.1434,0.1433,0.1454,0.1404
beautiful lipstick color. beautifully and securely packaged. fast deliveryhhhhhh,positive,0.7452,None,positive,0.6949,None,positive,0.7723,None,positive,0.8654,None,positive,0.8889,positive,positive,0.9212,positive,positive,0.8551,positive,negative,0.4922,0.1417,0.144,0.142,0.1427,0.1437,0.1442,0.1417
goods are slow due to border congestion. i have bought here many times i like it very much. i hope the shop will give you a discount next time,positive,0.5061,None,positive,0.713,None,positive,0.7772,None,positive,0.7899,None,positive,0.8387,None,negative,0.7671,negative,positive,0.6966,None,negative,0.4897,0.1406,0.1471,0.1472,0.1474,0.1484,0.1266,0.1427
"i was surprised by the quality of the lipstick, it's very good and the color is also pretty, so i recommend buying it above is color 403, lower is 501",positive,0.7292,None,positive,0.7057,None,positive,0.8369,None,positive,0.8418,None,positive,0.7675,positive,positive,0.7082,None,positive,0.8324,None,negative,0.493,0.1435,0.1442,0.1424,0.142,0.1432,0.144,0.1408
"the lipstick is super soft and smooth, the color is beautiful, this color 02 will be a bit dull when used alone, with makeup it will look better",positive,0.6885,None,positive,0.7288,positive,positive,0.7771,None,positive,0.7873,None,positive,0.5447,neutral,positive,0.5673,None,positive,0.7682,None,negative,0.4929,0.1437,0.1446,0.1425,0.1417,0.1425,0.1447,0.1403
"fast delivery the lipstick has beautiful color, fades quickly, and is thin and light will buy again next time",negative,0.8568,negative,positive,0.6292,None,positive,0.5808,None,positive,0.8262,None,positive,0.7709,positive,positive,0.7635,positive,positive,0.7037,None,negative,0.4876,0.1237,0.1467,0.1422,0.1484,0.1462,0.1494,0.1435
the product is good and the salary you need to buy a house is very good and is worth the money to buy more.,positive,0.78,None,positive,0.7421,None,positive,0.8972,None,positive,0.8781,positive,positive,0.8789,None,positive,0.5661,None,positive,0.8711,None,negative,0.4943,0.1432,0.1439,0.1424,0.1422,0.1433,0.1439,0.1411
m?n hagshhwbsbshsubwbshshshhsgshgwvwuwhsvwghwgssgsghu,positive,0.445,None,positive,0.4143,positive,positive,0.6466,None,positive,0.6801,None,positive,0.3944,None,positive,0.4498,None,positive,0.6002,None,negative,0.4926,0.1433,0.1441,0.1443,0.1441,0.141,0.1435,0.1398
"first time buying, i really like it, hehe very carefully packaged, love the shop",positive,0.7954,None,positive,0.7587,None,positive,0.8719,None,positive,0.8802,None,positive,0.8833,None,positive,0.7492,None,positive,0.8773,positive,negative,0.4931,0.1431,0.1439,0.1423,0.1423,0.1433,0.1437,0.1413
why do i think the color doesn't look the same :((( it's a bit dull,negative,0.5154,None,positive,0.5121,None,positive,0.5075,None,positive,0.7145,None,negative,0.6101,negative,negative,0.3596,None,positive,0.5466,None,negative,0.49,0.1374,0.1446,0.1465,0.1498,0.1345,0.1432,0.1441
"slae hunting from october 10. the lipstick smells like candy, very smooth. will support when drunk ????????????????????",positive,0.6849,None,positive,0.6313,positive,positive,0.8324,positive,positive,0.8119,positive,positive,0.7059,None,positive,0.4859,None,positive,0.8151,None,negative,0.4935,0.144,0.1446,0.1421,0.1415,0.1434,0.1439,0.1405
the lipstick is smooth and easy to spread because it has a lot of moisture and a sicula smell,positive,0.7331,None,positive,0.6858,positive,positive,0.8166,positive,positive,0.8245,None,positive,0.7175,None,positive,0.6764,None,positive,0.8158,None,negative,0.4934,0.1437,0.1442,0.1423,0.1417,0.1431,0.1442,0.1407
texture: cx ok color fastness: the color is very beautiful i bought it for you so i don't know how to rate it properly but the color is so beautiful and not too dark.,neutral,0.4894,neutral,neutral,0.5609,neutral,positive,0.7478,None,positive,0.755,None,positive,0.5722,positive,positive,0.5531,None,positive,0.7666,None,negative,0.4956,0.1453,0.1465,0.1416,0.1411,0.1431,0.1428,0.1397
"the product quality is excellent, the packaging is very careful and sturdy. the lipstick color is pretty, no need to talk about it~",positive,0.7906,None,positive,0.7525,None,positive,0.8683,None,positive,0.8725,None,positive,0.8676,positive,positive,0.7129,None,positive,0.8631,positive,negative,0.4933,0.1432,0.144,0.1423,0.1422,0.1433,0.1439,0.1411
"very good product, fast delivery ??????????????????????????????????????",positive,0.7433,None,positive,0.7098,None,positive,0.7747,None,positive,0.8749,None,positive,0.8914,None,positive,0.9379,positive,positive,0.8545,None,negative,0.4921,0.1415,0.1439,0.142,0.1428,0.1438,0.1443,0.1417
"the packaging was a bit loose, but luckily the lipstick was not damaged. there was an extra gift. i haven't used it yet so i don't know how it is.",positive,0.4961,None,negative,0.8356,None,positive,0.4865,None,positive,0.6936,None,positive,0.4849,None,negative,0.4592,None,positive,0.4626,negative,negative,0.4953,0.144,0.1293,0.145,0.1529,0.1446,0.1416,0.1426
"delivery took a while. carefully packaged, beautiful color, fruity scent.",positive,0.5308,None,positive,0.7249,None,positive,0.7781,positive,positive,0.7974,None,positive,0.8538,positive,negative,0.7844,negative,positive,0.7204,positive,negative,0.4899,0.1414,0.1472,0.1469,0.1472,0.1485,0.1258,0.143
shop delivers quickly. the lipstick looks so pretty ??????????????,positive,0.7286,None,positive,0.6924,None,positive,0.7683,None,positive,0.8707,None,positive,0.887,None,positive,0.9387,positive,positive,0.8473,None,negative,0.4919,0.1412,0.1439,0.142,0.1429,0.1439,0.1444,0.1416
"uses: fairly fast delivery, quick to prepare, thin skin, deodorant",positive,0.5301,None,neutral,0.5153,None,positive,0.7186,positive,positive,0.8022,None,positive,0.7321,positive,positive,0.8782,positive,positive,0.7989,None,negative,0.4937,0.1444,0.1455,0.1414,0.1417,0.1429,0.1436,0.1404
"good product, reasonable price, will buy again. have bought many times .",positive,0.7844,None,positive,0.7467,None,positive,0.891,None,positive,0.877,positive,positive,0.8764,None,positive,0.5827,None,positive,0.874,None,negative,0.4942,0.1432,0.1439,0.1424,0.1422,0.1433,0.1439,0.1411
bought so many times from the skin food. this time delivery was a bit slow but it's ok.,negative,0.5707,None,positive,0.5639,None,positive,0.6124,None,positive,0.765,None,positive,0.6117,None,positive,0.5273,negative,positive,0.6026,None,negative,0.4871,0.132,0.1454,0.1436,0.1474,0.1438,0.147,0.1408
"hehe that lipstick color is so pretty, i love it ??????????????????????????????????????",positive,0.807,None,positive,0.7702,None,positive,0.8684,None,positive,0.876,None,positive,0.8949,positive,positive,0.6747,None,positive,0.8692,None,negative,0.4934,0.1428,0.1439,0.1423,0.1425,0.1434,0.1439,0.1413
"fast delivery in terms of product quality, the 402 bar is super awesome and the 203 bar is very powdery.",positive,0.5705,None,negative,0.7011,neutral,positive,0.5835,None,positive,0.7721,None,positive,0.6715,None,positive,0.7547,positive,positive,0.583,None,negative,0.4917,0.1417,0.1293,0.143,0.1496,0.1459,0.1489,0.1416
"delivered all the goods.. also got an extra gift.. waited a bit long but very happy.. with the cheap price and nice packaging, i quite like it",positive,0.5816,None,positive,0.7427,None,positive,0.8149,None,positive,0.7783,positive,positive,0.8466,None,negative,0.7372,negative,positive,0.7516,None,negative,0.4901,0.1447,0.1475,0.1464,0.1454,0.1474,0.1259,0.1426
"it seems like the model is red, so when you color it, it doesn't come out very earthy. the lips on the 502 background fall in the 403, mn. pretty.",positive,0.4652,None,positive,0.7091,None,positive,0.439,None,positive,0.706,None,negative,0.4691,positive,positive,0.5546,None,positive,0.589,None,negative,0.4895,0.1395,0.148,0.1417,0.1455,0.1356,0.1479,0.1419
"great product, beautiful packaging, soft, fragrant lipstick, so beautiful",positive,0.8135,None,positive,0.8099,positive,positive,0.8829,positive,positive,0.8876,None,positive,0.8889,None,positive,0.6797,None,positive,0.8788,positive,negative,0.4933,0.1429,0.1438,0.1424,0.1424,0.1433,0.144,0.1413
the lipstick is a bit hissing more difficult to spread than the beautiful 600 color sakura model,positive,0.4643,None,negative,0.879,negative,negative,0.4278,None,positive,0.6915,None,negative,0.4554,positive,negative,0.546,None,positive,0.4657,None,negative,0.4962,0.1436,0.1295,0.1442,0.1548,0.1432,0.1402,0.1445
"first of all, in terms of aesthetics, the shell is very pretty and looks very eye-catching. the color is okay ????",positive,0.7139,None,positive,0.6491,None,positive,0.8739,None,positive,0.8601,None,positive,0.8231,positive,positive,0.6482,None,positive,0.8649,None,negative,0.4936,0.1436,0.1444,0.1423,0.1419,0.1432,0.1436,0.141
"lipstick delivered super fast, beautiful color and quality, i love it ???? a25 is a true love",positive,0.742,None,positive,0.7029,positive,positive,0.7738,None,positive,0.867,None,positive,0.8877,positive,positive,0.9237,positive,positive,0.8469,None,negative,0.4921,0.1417,0.1439,0.1419,0.1428,0.1438,0.1443,0.1416
"the shop delivered all the products and the right color i ordered, the two colors v17, v18 are both very beautiful",positive,0.6511,None,positive,0.674,None,positive,0.8695,None,positive,0.82,None,positive,0.7576,positive,neutral,0.6256,neutral,positive,0.8198,None,negative,0.4941,0.144,0.1446,0.1425,0.142,0.1435,0.143,0.1403
the color is very accurate. shipping time is also fast and i am very satisfied with this lipstick,positive,0.7468,None,positive,0.7114,None,positive,0.7716,None,positive,0.8722,None,positive,0.8872,positive,positive,0.9384,positive,positive,0.8496,None,negative,0.4922,0.1417,0.1439,0.142,0.1428,0.1438,0.1443,0.1416
"the lipstick is long-lasting, a little dry, but if it's applied with a balm layer, it's ok",positive,0.611,positive,negative,0.7922,neutral,positive,0.5058,None,positive,0.7099,None,positive,0.6231,None,positive,0.4624,None,positive,0.5351,None,negative,0.4938,0.1453,0.1284,0.1429,0.1509,0.1463,0.1439,0.1424
"the color is beautiful and lasts a long time, but you have to apply a lot on your lips to make it beautiful and deliver quickly",positive,0.6924,positive,positive,0.4093,None,positive,0.7192,None,positive,0.8133,None,positive,0.7569,positive,positive,0.882,positive,positive,0.7397,None,negative,0.4931,0.1431,0.1414,0.142,0.1439,0.1438,0.1453,0.1407
excellent product quality reasonable price pack the product securely,positive,0.7744,None,positive,0.7369,None,positive,0.866,None,positive,0.8709,positive,positive,0.8638,None,positive,0.7142,None,positive,0.8661,positive,negative,0.4931,0.1432,0.144,0.1423,0.1422,0.1433,0.1438,0.1412
uses: cunx texture: no the mau voltage stabilizer is also pretty but the shell has a bit of a strong plastic smell,positive,0.425,None,positive,0.4942,neutral,negative,0.5762,negative,positive,0.4183,None,negative,0.3898,positive,positive,0.4519,None,negative,0.4074,None,negative,0.493,0.1452,0.1484,0.1353,0.1434,0.1416,0.1453,0.1407
